city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Кемерово,2019,3,0,0,65,66,15961,15696
Кемерово,2019,6,0,0,94,96,21111,22416
Кемерово,2019,9,0,0,118,120,29265,29392
Кемерово,2019,12,0,0,89,87,19506,18412
Кемерово,2020,3,0,0,64,64,15064,13082
Кемерово,2020,6,0,0,2,1,97,4
Кемерово,2020,9,0,0,0,0,0,0
Кемерово,2020,12,0,0,4,3,184,20
Краснодар,2018,3,0,0,498,497,52236,47264
Краснодар,2018,6,0,0,853,848,112945,117653
Краснодар,2018,9,0,0,945,946,139535,134892
Краснодар,2018,12,0,0,647,641,80324,80207
Краснодар,2019,3,1,0,547,541,59121,59258
Краснодар,2019,6,0,0,905,908,126622,125091
Краснодар,2019,9,0,0,2423,2379,335854,329776
Краснодар,2019,12,0,0,987,984,102760,104975
Краснодар,2020,3,0,1,518,494,66402,63338
Краснодар,2020,6,0,0,36,46,123,194
Краснодар,2020,9,0,0,38,38,407,1068
Краснодар,2020,12,0,0,115,103,1732,3655
Красноярск,2018,3,56,56,344,348,67129,64542
Красноярск,2018,6,189,187,308,306,57679,54258
Красноярск,2018,9,167,165,311,310,64106,63493
Красноярск,2018,12,122,122,371,372,64877,70395
Красноярск,2019,3,84,84,364,369,69588,65782
Красноярск,2019,6,125,133,332,331,62376,60539
Красноярск,2019,9,85,96,323,319,66015,65869
Красноярск,2019,12,80,124,327,321,52515,59369
Красноярск,2020,3,284,305,272,270,64698,55051
Красноярск,2020,6,643,810,55,69,4217,4291
Красноярск,2020,9,292,389,7,4,1168,1716
Красноярск,2020,12,450,548,51,52,6750,7565
Курск,2018,3,0,0,2,3,28,37
Курск,2018,6,0,0,2,0,34,0
Курск,2018,9,0,0,0,0,0,0
Курск,2018,12,8,6,0,0,41,17
Курск,2019,3,0,0,0,1,0,2
Курск,2019,6,0,0,3,1,15,7
Курск,2019,9,0,0,8,1,18,6
Курск,2019,12,0,0,2,2,9,11
Курск,2020,3,0,0,1,0,6,0
Курск,2020,6,0,0,1,1,2,2
Курск,2020,9,0,0,0,0,0,0
Курск,2020,12,0,0,0,0,0,0
Липецк,2018,3,0,0,6,4,35,31
Липецк,2018,6,0,0,7,7,45,52
Липецк,2018,9,0,0,4,8,23,54
Липецк,2018,12,0,0,4,4,28,28
Липецк,2019,3,0,0,5,3,25,16
Липецк,2019,6,0,0,4,4,22,20
Липецк,2019,9,0,0,7,0,43,44
Липецк,2019,12,0,0,2,2,13,12
Липецк,2020,3,0,0,7,7,40,31
Липецк,2020,6,0,0,3,3,29,14
Липецк,2020,9,0,0,5,5,30,16
Липецк,2020,12,0,0,1,1,4,4
Магадан,2018,3,0,0,13,15,392,389
Магадан,2018,6,0,0,10,10,67,65
Магадан,2018,9,0,0,8,8,55,53
Магадан,2018,12,0,3,13,7,74,54
Магадан,2019,3,0,0,8,8,68,67
Магадан,2019,6,0,0,11,12,385,393
Магадан,2019,9,0,0,7,8,39,43
Магадан,2019,12,1,5,12,12,69,88
Магадан,2020,3,0,1,4,4,14,16
Магадан,2020,6,1,1,0,0,8,8
Магадан,2020,9,0,0,0,1,0,3
Магадан,2020,12,0,2,4,3,21,37
Магнитогорск,2018,3,0,0,7,7,145,194
Магнитогорск,2018,6,0,0,23,26,4447,4999
Магнитогорск,2018,9,0,0,29,32,6022,6292
Магнитогорск,2018,12,0,0,13,13,2247,1712
Магнитогорск,2019,3,0,0,5,2,213,28
Магнитогорск,2019,6,0,0,36,38,6157,7246
Магнитогорск,2019,9,0,0,41,40,8266,8055
Магнитогорск,2019,12,0,0,13,15,2724,1967
Магнитогорск,2020,3,0,0,2,0,97,0
Магнитогорск,2020,6,0,0,5,3,48,9
Магнитогорск,2020,9,0,0,5,3,106,15
Магнитогорск,2020,12,0,0,1,2,7,50
Махачкала,2018,3,0,0,5,4,106,104
Махачкала,2018,6,0,0,56,57,6173,5140
Махачкала,2018,9,0,0,9,10,1333,1342
Махачкала,2018,12,0,0,43,42,3706,3573
Махачкала,2019,3,0,0,42,39,4591,4673
Махачкала,2019,6,0,0,47,49,6635,6831
Махачкала,2019,9,0,0,147,144,19227,17811
