,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
275,Ивановская ГЭС, Гидроэлектростанция ,210.0, 1 060 млн. кВт*ч,, указать местонахождение электростанции,,,,,,,180.56745,
276,Приуфимская ТЭЦ, Теплоэлектроцентраль ,210.0, 728.73 млн. кВт*ч, Благовещенск (Республика Башкортостан), Широта: 55.028785 Долгота: 56.032988,447.0, 657.04 тыс. Гкал,,,, 156.10 кг/Гкал,180.56745,2.1285714285714286
277,Красноярская ТЭЦ-3, Теплоэлектроцентраль ,208.0,, Красноярск, Широта: 56.109722 Долгота: 93.094806,582.0,,,,,,178.84776,2.798076923076923
278,[Тюменская обл.] Передвижная энергетика, Тепловая электростанция ,205.0, 710.65 млн. кВт*ч, Тюмень, указать местонахождение электростанции,,,,,,,176.268225,
279,Серебрянская ГЭС-1, Гидроэлектростанция ,204.9, 550 млн. кВт*ч, Мурманск, Широта: 68.842554 Долгота: 35.568323,,,," Мурманская обл., г. Кола, ул. Андрусенко, д. 10",,,176.1822405,
280,Юго-Западная ТЭЦ, Теплоэлектроцентраль ,203.5, 1 450 млн. кВт*ч, Санкт-Петербург, Широта: 59.871063 Долгота: 30.182147,255.0, 505 тыс. Гкал,," 198328, Санкт-Петербург, ул. Доблести, д.1.",,,174.9784575,1.253071253071253
281,Партизанская ГРЭС, Теплоэлектроцентраль ,203.0, 615.30 млн. кВт*ч, Партизанск, Широта: 43.061500 Долгота: 133.135544,160.0, 228.88 тыс. Гкал, 51.80 %,, 464.80 г/кВт•ч,,174.548535,0.7881773399014779
282,Курская ТЭЦ-1, Теплоэлектроцентраль ,125.0, 669.75 млн. кВт*ч, Курск, Широта: 51.663591 Долгота: 36.114234,904.0,,,,,,107.480625,7.232
283,Ванкорская ГТЭС, Теплоэлектроцентраль ,200.0,, Красноярск, Широта: 67.803560 Долгота: 83.532801,240.0,,,,,,171.969,1.2
284,Чайковская ТЭЦ, Теплоэлектроцентраль ,200.0, 856.90 млн. кВт*ч, Чайковский, Широта: 56.728192 Долгота: 53.927658,466.0,,,,,,171.969,2.33
285,Барнаульская ТЭЦ-2, Теплоэлектроцентраль ,200.0, 827.50 млн. кВт*ч, Барнаул, Широта: 53.388889 Долгота: 83.758056,881.36,,,,,,171.969,4.4068000000000005
286,Калининградская ВЭС, Ветряная электростанция ,200.0,, Калининград, указать местонахождение электростанции,,,," г. Калининград, Калининградская область",,,171.969,
287,"ТЭЦ ОАО ""Алтай-кокс""", Теплоэлектроцентраль ,200.0, 912.63 млн. кВт*ч, Заринск, Широта: 53.683368 Долгота: 84.989682,1321.0,,,,,,171.969,6.605
288,"Тантарийская ГЭС, каскад ГЭС на р. Андийское Койсу", Гидроэлектростанция ,200.0, 385 млн. кВт*ч,, указать местонахождение электростанции,,,,,,,171.969,
289,"ТЭС ""Огородный проезд""", Тепловая электростанция ,200.0,, Москва, указать местонахождение электростанции,,,,,,,171.969,
290,Ивановская ТЭЦ-2, Теплоэлектроцентраль ,200.0, 632.01 млн. кВт*ч, Иваново, Широта: 56.990656 Долгота: 41.011334,871.5,,,,,,171.969,4.3575
291,Джубгинская ТЭС, Тепловая электростанция ,198.0, 478.21 млн. кВт*ч, Дефановка, Широта: 44.438835 Долгота: 38.763556,0.0,, 36 %,, 296 г/кВт•ч,,170.24930999999998,0.0
292,Аргаяшская ТЭЦ, Теплоэлектроцентраль ,195.0, 1 059.18 млн. кВт*ч, Новогорный, Широта: 55.638889 Долгота: 60.778611,576.0,,,,,,167.669775,2.953846153846154
293,Гиагинский ветропарк, Ветряная электростанция ,195.0,,, указать местонахождение электростанции,,,," Гиагинское сельское поселение, Айрюмовское сельское поселение, Гиагинский район, Республика Адыгея",,,167.669775,
294,Йошкар-Олинская ТЭЦ-2, Теплоэлектроцентраль ,195.0, 702.99 млн. кВт*ч, Йошкар-Ола, Широта: 56.632222 Долгота: 47.872222,660.0, 971.70 тыс. Гкал,," Республика Марий Эл, г. Йошкар-Ола, ул. Крылова, 47",,,167.669775,3.3846153846153846
295,ТЭЦ-17, Теплоэлектроцентраль ,192.0, 230 млн. кВт*ч, Ступино, Широта: 54.902778 Долгота: 38.055000,712.0, 534 тыс. Гкал,," 142800, Московская область, г. Ступино, ул. Фрунзе, вл. 19",,,165.09024,3.7083333333333335
296,Новгородская ТЭЦ, Теплоэлектроцентраль ,190.0, 540.18 млн. кВт*ч, Великий Новгород, Широта: 58.623611 Долгота: 31.221944,630.0,,,,,,163.37054999999998,3.3157894736842106
297,Казанская ТЭЦ-2, Теплоэлектроцентраль ,190.0, 892.93 млн. кВт*ч, Казань, Широта: 55.845278 Долгота: 49.060278,851.0,,,,,,163.37054999999998,4.478947368421053
298,Северодвинская ТЭЦ-1, Теплоэлектроцентраль ,188.5, 1 026.47 млн. кВт*ч, Северодвинск, Широта: 64.581009 Долгота: 39.857712,679.0,,,,,,162.0807825,3.6021220159151195
299,Южная тепловая станций (АО «Рубцовский теплоэнергетический комплекс»), Теплоэлектроцентраль ,6.0,, Рубцовск, Широта: 51.491324 Долгота: 81.198278,60.0,,,,,,5.15907,10.0
300,Салаватская ТЭЦ, Теплоэлектроцентраль ,185.0, 713.38 млн. кВт*ч, Салават, Широта: 53.396944 Долгота: 55.887500,773.0, 1 480.79 тыс. Гкал,,,, 143.90 кг/Гкал,159.071325,4.178378378378379
301,Иркутская ТЭЦ-1, Теплоэлектроцентраль ,185.0, 502.89 млн. кВт*ч, Ангарск, Широта: 52.565602 Долгота: 103.931734,1286.3,,,,,,159.071325,6.952972972972972
302,ГЭС-2 Каскада Кубанских ГЭС, Гидроэлектростанция ,184.0, 600 млн. кВт*ч, Усть-Джегута, Широта: 44.339722 Долгота: 42.506667,,,,,,,158.21148,
303,Каскад Курпских ГЭС, Гидроэлектростанция ,184.0, 1 018 млн. кВт*ч,, указать местонахождение электростанции,,,,,,,158.21148,
304,Энгельсская ТЭЦ-3, Теплоэлектроцентраль ,182.0, 577.22 млн. кВт*ч, Энгельс, Широта: 51.460292 Долгота: 46.153665,689.6,,,,,,156.49178999999998,3.7890109890109893
305,Кривопорожская ГЭС, Гидроэлектростанция ,180.0, 479 млн. кВт*ч, Кондопога, Широта: 65.033417 Долгота: 33.667528,,,," Республика Карелия, Кемь, ул. Энергетиков, 15",,,154.7721,
306,Пермская ТЭЦ-6, Теплоэлектроцентраль ,179.7, 254.56 млн. кВт*ч, Пермь, Широта: 57.977222 Долгота: 56.256111,1315.5,,,,,,154.51414649999998,7.3205342237061775
307,Электростанции Сахаэнерго, Дизельная электростанция ,178.7, 258 млн. кВт*ч, Якутск, указать местонахождение электростанции,16.0, 34.60 тыс. Гкал, 24 %,, 404.95 г/кВт•ч,,153.65430149999997,0.08953553441522105
308,Новотроицкая ТЭЦ, Теплоэлектроцентраль ,172.0,, Новотроицк, Широта: 51.224572 Долгота: 58.364096,,,,,,,147.89334,
309,Тверская ТЭЦ-3, Теплоэлектроцентраль ,170.0, 900.20 млн. кВт*ч, Тверь, Широта: 56.904722 Долгота: 35.905833,694.0,,,,,,146.17365,4.08235294117647
310,Костромская ТЭЦ-2, Теплоэлектроцентраль ,170.0, 888.02 млн. кВт*ч, Кострома, Широта: 57.753611 Долгота: 41.030000,811.0,,,,,,146.17365,4.770588235294118
311,Якутская ГРЭС-2, Теплоэлектроцентраль ,170.0, 1 440.40 млн. кВт*ч, Якутск, Широта: 62.054006 Долгота: 129.629445,460.0, 1 905 тыс. Гкал,,,,,146.17365,2.7058823529411766
312,Безымянская ТЭЦ, Теплоэлектроцентраль ,169.7, 816.95 млн. кВт*ч, Самара, Широта: 53.199167 Долгота: 50.294444,1445.0,,," 443052, г. Самара, пр. Кирова, 53а",,,145.9156965,8.51502651738362
313,Воронежская ТЭЦ-1, Теплоэлектроцентраль ,168.0, 642.00 млн. кВт*ч, Воронеж, Широта: 51.626356 Долгота: 39.224346,1269.0,,,,,,144.45396,7.553571428571429
314,Павловская ГЭС, Гидроэлектростанция ,166.4, 870.03 млн. кВт*ч, Павловка, Широта: 55.406032 Долгота: 56.555560,0.0,,,,,,143.078208,0.0
315,Камчатская ТЭЦ-2, Теплоэлектроцентраль ,163.2, 723.12 млн. кВт*ч, Петропавловск-Камчатский, Широта: 53.011389 Долгота: 158.739444,820.08,,,, 313.99 г/кВт•ч,,140.32670399999998,5.025
