,0.1,1,"Глубина переработки, %",Кратность запасов газа добыче,Кратность запасов нефти добыче,Цены на бензин 2013,Цены на бензин 2018,Акцизы на нефтепродукты (суб.бюджет) 2014,Акцизы на нефтепродукты (суб.бюджет) 2017,НДПИ (нефть) 2014,НДПИ (нефть) 2017,Задолженность по НДПИ 2014,Задолженность по НДПИ 2017,Задолженность по акцизу на нефтепродукты 2014,Задолженность по акцизу на нефтепродукты 2017,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2014,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2017,НДПИ (газ горючий природный) 2014,НДПИ (газ горючий природный) 2017,НДПИ (газовый конденсат ) 2014,НДПИ (газовый конденсат ) 2017,Крэк-спред 2013,Крэк-спред 2018,Спарк-спред 2012,Спарк-спред 2018,Цены на мазут 2012,Цены на мазут 2018
65,Свердловская область,Свердловская область,,,,30.004364583333338,40.94079513888889,0.001,,-0.044,,57.401,209.696,0.364,,5.9460000000000015,0.34500000000000003,,,,,,,1755.3475,3459.500833333333,,
66,Тамбовская область,Тамбовская область,,,,29.745625,41.85722222222222,,,,,0.002,0.38299999999999995,,,0.165,,,,,,,,,,,
67,Республика Татарстан,Республика Татарстан,73.0,,30.73,28.408208333333334,,8249.027,1608.8,149424.946,228255.633,8.719000000000001,11.909,,2.03,50.2,0.326,,,,,,,,,,
68,Томская область,Томская область,,96.57,50.71,29.07372222222222,40.012483333333336,223.104,274.62,62245.669,74346.762,7.004,11.264,5.803999999999999,,138.531,21.073,1850.711,2760.559,29.79600000000001,1982.137,19598.934849188354,19516.611045148948,1620.4083333333335,2988.9950000000013,13141.443497973683,17343.255279910038
69,Тульская область,Тульская область,,,,29.34811597222222,41.83077777777778,,0.10099999999999999,,,24.159,6.569,,,0.07,,,,,,,,2660.5925,4267.909166666667,,
70,Республика Тыва,Республика Тыва,,,,29.10848611111111,,,,,,2.143,4.066,0.038,,,0.013,,,,,,,,,,
71,Тверская область,Тверская область,,,,29.300750000000004,41.414291666666664,282.50600000000014,170.923,,,3.1180000000000003,6.146,,13.639,0.654,,,,,,18651.460949971897,19260.65883108737,,,9900.0,13142.781456724735
72,Тюменская область,Тюменская область,50.1,,45.83,29.45561053240741,40.71483333333334,1428.41,-2591.91,57958.105,81362.185,30.136999999999997,9.442,,,480.17699999999996,0.5670000000000001,,,,,18406.37690790665,17518.431212419815,,,9245.216625040603,5893.001123206613
73,Удмуртская Республика,Удмуртская республика,,,37.28,28.935008333333332,41.24385416666667,,,50013.819,74309.734,28.82800000000001,37.794,,221.706,26.159,40.62,,,,,,,,,,
74,Ульяновская область,Ульяновская область,,,139.86,28.89529761904762,40.47079791666667,14.485999999999999,1.506,3278.124000000001,4445.672000000001,1.236,1.5490000000000002,,,0.006,,,,,,,,,,,
75,Владимирская область,Владимирская область,,,,29.73719907407407,41.472427083333336,,,,,3.338,7.258999999999999,,,0.08900000000000001,0.002,,,,,,,,,,
76,Волгоградская область,Волгоградская область,92.3,79.37,17.12,29.94123124999999,42.084875000000004,11314.181,17669.307,9497.089,13104.133999999998,0.799,47.104,0.715,,26.086,81.23700000000002,139.716,208.924,42.857,291.14,17419.25315143482,14111.743549974475,,,11478.126753912047,17244.06952850691
77,Вологодская область,Вологодская область,,,,30.407166666666665,42.14325,,,,,1.3210000000000002,2.224,,46.911,0.135,,,,,,,,1910.1641666666665,4362.495833333333,,
78,Воронежская область,Воронежская область,,,,30.394739583333333,42.80592708333335,0.001,0.001,,,8.937999999999997,4.368,,,0.457,0.313,,,,,,,,,,
79,Ямало-Ненецкий АОк,Ямало-Ненецкий автономный округ,100.0,69.45,147.65,32.56544270833333,,625.672,475.309,110904.48199999999,173576.91,187.985,39.258,,27.82200000000001,285.999,2825.007,329329.745,505607.17,11544.652,96181.32,,,1755.3475,3459.500833333333,,
80,Ярославская область,Ярославская область,64.05,,,28.7929816468254,40.233375,17260.631999999998,28460.334,,,4.754,7.0489999999999995,,578.991,0.16399999999999998,0.006999999999999999,,,,,17006.174671381577,17148.935656412137,,,6407.164671379258,9993.896362153788
81,Еврейская автономная область,Еврейская автономная область,,,,32.7470462962963,40.29089814814815,,,,,2.3360000000000003,1.3559999999999999,0.002,0.002,,,,,,,,,,,,
82,Забайкальский край,Забайкальский край,,,,31.760430555555555,41.692798611111115,,,,,92.755,87.991,,,,,,,,,,,2113.9066666666668,3834.848333333333,,
83,Республика Крым,Республика Крым,,97.75,5222.22,,45.71244444444445,,,,75.15400000000002,,0.002,,,,0.188,,5.144,,20.085,,,,,,
